Product Name,Unit,Price (Rs)
Nandini Shubham Milk,500ml,26
Nandini Special Toned Milk,500ml,24
Nandini Homogenised Toned Milk,500ml,22
Nandini Samrudhi Full Cream Milk,1 litre,51
Nandini Pasteurized Toned Milk,500ml,22
Pasteurised Cow Milk (A2),500ml,30
Nandini Fresh Curd,500g,30
Spiced Buttermilk,200ml,10
Nandini Pure Ghee,500ml,280
Nandini Butter,100g,50
Mozzarella Cheese,200g,120
Cheese Spread,100g,75
Nandini Paneer,200g,85
Skimmed Milk Powder,500g,200
Badam Milk Mix,200g,150
Kesar Badam Flavored Milk,180ml,25
Pista Flavored Milk,180ml,25
Strawberry Flavored Milk,180ml,25
Banana Milkshake,180ml,30
Vanilla Milkshake,180ml,30
Chocolate Milkshake,180ml,30
Vanilla Ice Cream,750ml,150
Chocolate Ice Cream Cone,100ml,40
Mysore Pak,250g,180
Dharwad Peda,250g,220
Gulab Jamoon,500g,120
Sweet n Salt Cookies,200g,60
Vermicelli Payasa Mix,150g,70
Nandini Eco Tote Bag,1pc,150
Nandini Water Bottle,1pc,299
Nandini T-Shirt,1pc,199
Nandini Apron,1pc,99
Nandini Coffee Mug,1pc,149
Nandini Cap,1pc,129
Badam Burfi,250g,210
Cashew Burfi,250g,225
Chocolate Burfi,250g,145
Coconut Burfi,200g,130
Dry Fruits Burfi,250g,225
Special Milk Burfi,200g,110
Nandini Peanut Burfi,200g,100
Dharwad Peda,250g,125
Elaichi Peda,250g,150
Jaggery Peda,200g,125
Milk Peda,250g,140
Besan Ladoo,200g,120
Godhi Laddu,250g,115
Kaju Katli,200g,220
Mysorepak,25g,15
Mysorepak,100g,60
Mysorepak,250g,160
Mysorepak,500g,280
Peanut Chikki,100g,45
Ullas Gulla,200g,100
Rossogolla,500g,150
Rasakadam,200g,140
Nandini Benne Murukku,180g,60
Nandini Benne Murukku,30g,10
Nandini Paneer Murukku,180g,75
Nandini Bombay Mixture,180g,60
Nandini Bombay Mixture,30g,10
Nandini Khara Boondi,180g,60
Nandini Khara Boondi,30g,10
Nandini Masala Kodubale,180g,60
Nandini Masala Kodubale,30g,10
Paneer Nippattu,40g,25
Good Life Almond Milk Choco,18g,20
Good Life Crispy Milk Choco,18g,20
Good Life Delish Milk Choco,50g,30
Good Life Orange Milk Choco,18g,20
Good Life Rich Milk Chocolate,36g,30
Good Life Raisins & Nuts Milk Choco,18g,20
Good Life Raisins & Nuts Milk Choco,38g,30
Good Life Energy Bar,12g,10
Good Life Energy Bar,22g,15
Good Life Energy Zesty Fruit,12g,10
Good Life Energy Zesty Fruit,22g,15
Good Life Rich Bar Caramel,12g,6
Good Life Rich Bar Caramel,22g,10
Good Life Rich Bar Caramel,45g,25
Nandini Ghee,1 Ltr Pouch,630
Nandini Ghee,1 Ltr Pet Jar,650
Nandini Ghee,500 ML Pet Jar,325
Nandini Ghee,200 ML Pouch,141
Nandini Ghee,200 ML Pet Jar,151
Nandini Salted Butter,10g,5
Nandini Salted Butter,100g,50
Nandini Salted Butter,500g,250
Nandini Unsalted Butter,500g,265
Nandini Paneer,200g,100
Nandini Paneer,500g,220
Nandini Paneer,1kg,425
Nandini Cheddar Cheese Block,1kg,510
Khova,250g,120
